iter	Passed	Remaining
0	137	137704
1	138	69352
2	139	46364
3	140	35024
4	141	28097
5	141	23504
6	142	20225
7	143	17757
8	143	15817
9	144	14263
10	144	13016
11	145	11978
12	146	11091
13	146	10322
14	147	9653
15	147	9066
16	147	8549
17	148	8089
18	148	7678
19	149	7305
20	149	6972
21	150	6670
22	150	6395
23	151	6146
24	151	5910
25	152	5695
26	152	5495
27	152	5310
28	153	5136
29	153	4972
30	154	4819
31	154	4677
32	155	4544
33	155	4420
34	156	4301
35	156	4188
36	156	4084
37	157	3983
38	157	3886
39	158	3794
40	158	3708
41	158	3626
42	159	3547
43	159	3474
44	160	3402
45	160	3333
46	161	3268
47	161	3205
48	162	3147
49	162	3091
50	163	3035
51	163	2983
52	164	2931
53	164	2882
54	164	2834
55	165	2790
56	166	2747
57	166	2703
58	166	2661
59	167	2621
60	167	2582
61	168	2544
62	168	2508
63	169	2472
64	169	2437
65	169	2404
66	170	2370
67	170	2336
68	170	2304
69	171	2275
70	171	2246
71	172	2217
72	172	2189
73	172	2162
74	173	2136
75	173	2111
76	174	2086
77	174	2063
78	175	2040
79	175	2017
80	175	1996
81	176	1975
82	176	1955
83	177	1935
84	177	1914
85	178	1896
86	178	1876
87	179	1858
88	179	1840
89	180	1824
90	180	1806
91	181	1790
92	181	1773
93	182	1757
94	182	1740
95	183	1725
96	183	1709
97	184	1696
98	184	1681
99	185	1667
100	185	1653
101	185	1637
102	186	1624
103	186	1610
104	187	1596
105	187	1583
106	188	1570
107	188	1557
108	188	1544
109	189	1531
110	189	1519
111	190	1507
112	190	1495
113	191	1484
114	191	1473
115	191	1461
116	192	1450
117	192	1439
118	192	1427
119	193	1417
120	193	1406
121	194	1396
122	194	1385
123	194	1374
124	194	1364
125	195	1355
126	195	1346
127	196	1336
128	196	1327
129	196	1318
130	197	1309
131	197	1300
132	198	1291
133	198	1282
134	198	1274
135	199	1266
136	199	1257
137	200	1249
138	200	1241
139	200	1233
140	201	1226
141	201	1218
142	202	1210
143	202	1203
144	202	1196
145	203	1188
146	203	1181
147	204	1174
148	204	1167
149	204	1160
150	205	1154
151	205	1147
152	206	1140
153	206	1134
154	207	1128
155	207	1122
156	207	1115
157	208	1109
158	208	1103
159	209	1097
160	209	1091
161	209	1086
162	210	1080
163	210	1075
164	211	1070
165	211	1064
166	212	1059
167	212	1054
168	213	1049
169	213	1043
170	214	1039
171	214	1033
172	215	1028
173	215	1023
174	216	1018
175	216	1013
176	216	1008
177	217	1003
178	217	998
179	218	993
180	218	987
181	218	982
182	219	978
183	219	973
184	219	968
185	220	963
186	220	959
187	221	954
188	221	949
189	221	945
190	222	941
191	222	936
192	223	932
193	223	928
194	223	923
195	224	919
196	224	915
197	225	911
198	225	907
199	225	903
200	226	899
201	226	895
202	227	891
203	227	887
204	227	883
205	228	879
206	228	875
207	229	872
208	229	868
209	229	864
210	230	861
211	230	857
212	231	853
213	231	850
214	231	846
215	232	843
216	232	839
217	233	835
218	233	832
219	233	829
220	234	825
221	234	822
222	235	818
223	235	815
224	235	812
225	236	808
226	236	805
227	236	802
228	237	799
229	237	795
230	238	792
231	238	789
232	238	786
233	239	783
234	239	780
235	240	777
236	240	774
237	241	771
238	241	769
239	241	766
240	242	763
241	242	760
242	243	757
243	243	754
244	244	751
245	244	749
246	244	746
247	245	743
248	245	741
249	246	738
250	246	735
251	246	732
252	247	730
253	247	727
254	248	724
255	248	722
256	248	719
257	249	717
258	249	714
259	250	712
260	250	710
261	251	707
262	251	705
263	252	703
264	252	701
265	253	699
266	253	696
267	254	694
268	254	691
269	255	689
270	255	687
271	256	685
272	256	683
273	256	680
274	257	678
275	257	676
276	258	673
277	258	671
278	259	669
279	259	667
280	259	664
281	260	662
282	260	660
283	261	658
284	261	656
285	261	653
286	262	651
287	262	649
288	263	647
289	263	645
290	263	642
291	264	640
292	264	638
293	265	636
294	265	634
295	265	632
296	266	630
297	266	628
298	267	626
299	267	624
300	267	622
301	268	620
302	268	618
303	269	616
304	269	614
305	269	612
306	270	610
307	270	608
308	271	606
309	271	604
310	271	602
311	272	600
312	272	598
313	273	596
314	273	594
315	273	592
316	274	590
317	274	589
318	275	587
319	275	585
320	275	583
321	276	581
322	276	579
323	277	578
324	277	576
325	277	574
326	278	572
327	278	571
328	279	569
329	279	567
330	280	566
331	280	564
332	280	562
333	281	561
334	281	559
335	282	557
336	282	555
337	283	554
338	283	552
339	283	551
340	284	549
341	284	547
342	285	545
343	285	544
344	285	542
345	286	540
346	286	539
347	287	537
348	287	536
349	288	535
350	288	533
351	289	532
352	289	530
353	289	529
354	290	527
355	290	526
356	291	524
357	291	523
358	292	521
359	292	520
360	293	518
361	293	517
362	293	515
363	294	514
364	295	513
365	295	511
366	295	510
367	296	508
368	296	507
369	297	505
370	297	504
371	297	503
372	298	501
373	298	500
374	299	498
375	299	497
376	299	495
377	300	494
378	300	492
379	301	491
380	301	489
381	301	488
382	302	486
383	302	485
384	302	483
385	303	482
386	303	481
387	304	479
388	304	478
389	304	477
390	305	475
391	305	474
392	306	473
393	306	472
394	307	470
395	307	469
396	308	467
397	308	466
398	308	465
399	309	464
400	309	462
401	310	461
402	310	460
403	311	459
404	311	458
405	312	456
406	312	455
407	313	454
408	313	453
409	313	451
410	314	450
411	314	449
412	315	447
413	315	446
414	315	445
415	316	443
416	316	442
417	317	441
418	317	440
419	317	438
420	318	437
421	318	436
422	318	435
423	319	433
424	319	432
425	320	431
426	320	430
427	320	428
428	321	427
429	321	426
430	322	425
431	322	423
432	322	422
433	323	421
434	323	420
435	324	419
436	324	417
437	324	416
